"","label","wallet_id","txs_count","balance","total_received","total_sent","total_life","addresses_count","avg_incoming_tx_per_address","total_incoming_tx","fraction_unique_addr_count","wallet_alias","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received"
"1129","blackmail","7600068390c7c001",2,0.30257949,2,0,174172,1,2,2,2,"7600068390c7c001",0,0,0,0,0,0,0.00172,5.3375041,0.979885354,6.85919748,1.96514937491828,3.86181206574172
"1130","blackmail","85d1ba0341a26a7a",5,1.132123,5,0,1464643,1,5,5,5,"85d1ba0341a26a7a",0,0,0,0,0,0,0.00059748,10,0.656348362,38.06820498,2.01279331736235,4.05133693841855
"1131","blackmail","7e72c3c5c2f36443",1,1.337e-05,1,0,0,1,1,1,1,"7e72c3c5c2f36443",0,0,0,0,0,0,1.337e-05,0.00346222,0.000124623,0.00386332,0,0
"1132","blackmail","acd6372ba635e1a4",1,1.337e-05,1,0,0,1,1,1,1,"acd6372ba635e1a4",0,0,0,0,0,0,1.337e-05,0.00346222,0.000124623,0.00386332,0,0
"1133","blackmail","8953ba1bc8a8e0d6",3,0.4009664,3,0,124754,1,3,3,3,"8953ba1bc8a8e0d6",0,0,0,0,0,0,0.01286552,1.26329117,0.54393517,3.26361102,0.512344193304925,0.262496572413274
"1134","blackmail","8bd2ac35dc313a52",1,0.41538,1,0,0,1,1,1,1,"8bd2ac35dc313a52",0,0,0,0,0,0,0.25364422,0.41538,0.33451211,0.66902422,0,0
"1135","ponzi","015411e1b244bf9d",411,0,357,54,18654620,84,4.77380952380952,401,4.89285714285714,"015411e1b244bf9d",0.00030293,428.66626832,2.60787539,2748.70066112,17.4241979012601,303.602672502276,5.46e-06,337.51741797,1.043312659,2748.0855444,8.9778741417896,80.6022241058143
"1136","ponzi","d67ce23e1b323d35",2,0,1,1,0,1,1,1,2,"d67ce23e1b323d35",164.18195099,164.27073676,164.226343875,328.45268775,0,0,0.01,164.18195099,54.741860678,328.45116407,0,0
"1137","ponzi","7f7e17370c36992d",147,0,85,62,83422480,1,85,85,147,"7f7e17370c36992d",1e-05,67.4991,3.285908929,1439.22811074,7.37759259919528,54.4288725597009,0.00019366,50,3.817029537,1439.0201355,7.77380074933033,60.4319780902888
"1138","ponzi","009a12d1d9cabc75",1158,0,836,322,56923836,368,2.75,1012,3.14673913043478,"009a12d1d9cabc75",2e-06,1377.04964163,6.631639945,18847.12072503,53.3321486276694,2844.31807724382,9.04e-06,1364.04898063,0.063258514,18842.68713313,5.14823206110428,26.504293354982
"1139","ponzi","1174eb0934204732",2,0,1,1,2125,1,1,1,2,"1174eb0934204732",0.0100437,2.26264858,0.504619037,4.54157133,0,0,0.01086377,2.26264858,1.133868473,4.53547389,0,0
"1140","ponzi","000b4e6cb21a02b6",19060,0.24703233,18357,703,124078831,3758,5.0681213411389,19046,5.07184672698244,"000b4e6cb21a02b6",1e-08,8740.13539193,10.808632531,863285.48023622,113.735285499038,12935.7151675477,0,8738.76917473,0.152644126,863169.25581185,13.1688937131076,173.419761627126
"1141","ponzi","0000781f55f5f5de",339661,0.00075046,338243,1118,108195071,337693,1.06001072961373,98793,1.00582777848519,"0000781f55f5f5de",1e-08,29499.36570175,2.015760892,2323053.56062304,82.7938303542915,6854.8183447352,2.94e-06,29412.85533013,1.096889251,2322627.88932672,60.6907085024129,3683.36209852485
"1142","ponzi","0700ae78cd83989c",65,0,46,19,13200330,16,3.4375,55,4.0625,"0700ae78cd83989c",1.478e-05,132.551195,2.207748574,2168.00909949,10.4344695690514,108.87815518746,5.955e-05,193.90776073,2.395569531,2167.99042565,12.1923271925567,148.652842370357
"1143","ponzi","1e8c4515b50aadaa",2695114,3275.7597171,363,182337,8418269,17,3.4375,55,158536.117647059,"1e8c4515b50aadaa",3.884e-05,999.996986,1.149261657,366224.86894533,7.53875814222087,56.8328743269015,6e-06,916.4876107,0.791770953,366207.52585249,6.02484380046629,36.298742820017
"1144","ransomwares","0ea0c0beb3cc24fb",110,0,70,40,26585530,38,2.34210526315789,89,2.89473684210526,"0ea0c0beb3cc24fb",0.000203,119.99728591,2.209732824,835.27900743,10.2718146568302,105.510176344272,1e-04,116.5850862,0.178507915,835.0600286,2.66547784651972,7.1047721502874
"1145","ransomwares","000003388d57064c",1449036,6.70642051,175051,7149,95904639,900804,2.34210526315789,89,1.60860298133667,"000003388d57064c",1e-08,27438.82993685,8.063634597,7819121.00484282,123.70541259129,15303.0291043813,0,27403.36559185,0.632752607,7818217.81648003,33.9573173768633,1153.09940343302
"1146","ransomwares","02cea279375aa532",4236,0,1640,2596,122241087,159,11.6729559748428,1856,26.6415094339623,"02cea279375aa532",1e-08,3978.1230945,0.998630749,7264.0400663,48.6210686212234,2364.00831386972,1e-08,3603.31816494,0.366093788,7262.93465512,26.6839834607262,712.034973332308
"1147","ransomwares","28b568ee03db0afc",3,0,1,2,766222,1,1,1,3,"28b568ee03db0afc",0.05312132,2.77090251,0.615122997,4.30586098,0.977818337380021,0.956128700916629,0.04869,2.55455098,0.861112196,4.30556098,0,0
"1148","ransomwares","16b22327a6672cf0",1,0.00896,1,0,0,1,1,1,1,"16b22327a6672cf0",0,0,0,0,0,0,0.00896,0.10180428,0.05538214,0.11076428,0,0
"1149","ransomwares","db0e3817eb08db80",1,0.002,1,0,0,1,1,1,1,"db0e3817eb08db80",0,0,0,0,0,0,0.002,0.0227,0.01235,0.0247,0,0
"1150","ransomwares","7bd06844b1ec3b3a",2,4.937e-05,1,1,50009909,1,1,1,2,"7bd06844b1ec3b3a",0.00111225,1.31419771,0.65765498,1.31530996,0,0,4.937e-05,1.25634706,0.262982672,1.31491336,0,0
"1151","ransomwares","8117e3b7dad3016f",1,1e-04,1,0,0,1,1,1,1,"8117e3b7dad3016f",0,0,0,0,0,0,1e-04,0.03627092,0.002003733,0.03807092,0,0
"1152","ransomwares","54f71b526d0d7690",1,0.002,1,0,0,1,1,1,1,"54f71b526d0d7690",0,0,0,0,0,0,0.002,0.02836627,0.015183135,0.03036627,0,0
"1153","scams","002433bbffafc761",15537,0.06373892,12884,2653,252912294,2652,5.45135746606335,14457,5.85859728506787,"002433bbffafc761",1e-08,10005.88097135,4.74032562,454009.4265406,57.8396129442092,3345.42082553593,1e-08,2840.27722517,0.124406124,454135.09924484,7.70451934416231,59.3596183245712
"1154","scams","6d1400cb36a74c93",20,0.00086443,14,6,74876448,1,14,14,20,"6d1400cb36a74c93",1.3e-07,30,0.088376116,143.08093123,0.872622204057849,0.761469511014779,1e-04,30,3.30687593,142.19566498,7.3472087723315,53.981476744225
"1155","scams","57eca0e8071d2d21",3,0,2,1,856204,2,1,2,1.5,"57eca0e8071d2d21",0.0002436,4.47431956,0.168198615,10.76471138,0,0,0.375547,5,2.687994218,10.75197687,2.38559024368968,5.69104081078738
"1156","scams","27974e7c175dd2e4",11,0,7,4,154190,4,2,8,2.75,"27974e7c175dd2e4",0.021,30,8.968094444,161.4257,9.44520112372491,89.2118242676144,0.021,29.99,10.084575,161.3532,8.13069902689799,66.108266666
"1157","scams","352fd318b86d01fd",3,0,2,1,320861,2,1,2,1.5,"352fd318b86d01fd",6.44659748,8.7384109,7.59250419,30.37001676,0,0,5.681618,9.5,7.591096715,30.36438686,1.81760787867482,3.30369840062076
